,Race,Sex,Region,State,Race Victim,Sex Victim,Race2,Race3,Race4,Victim
0,White,Male,West,Utah,White,Male,White,White Male,White Male,1
1,White,Male,South,Florida,White,Male,White,White Male,White Male,1
2,White,Male,West,Nevada,White,Male,White,White Male,White Male,1
3,White,Male,Midwest,Indiana,White,Male,White,White Male,White Male,1
4,White,Male,Midwest,Indiana,White,Male,White,White Male,White Male,1
5,White,Male,Midwest,Indiana,White,Female,White,White Female,White Female,1
6,White,Male,Midwest,Indiana,White,Female,White,White Female,White Female,1
7,White,Male,South,Virginia,White,Male,White,White Male,White Male,1
8,Other,Male,South,Texas,White,Male,White,White Male,White Male,1
9,White,Male,South,Alabama,White,Male,White,White Male,White Male,1
10,White,Male,South,Mississippi,White,Female,White,White Female,White Female,1
11,White,Male,South,Florida,White,Male,White,White Male,White Male,1
12,Other,Male,South,Louisiana,Black,Male,Other,Other Male,Black Male,1
13,White,Male,South,Georgia,White,Male,White,White Male,White Male,1
14,White,Male,South,Georgia,White,Female,White,White Female,White Female,1
15,White,Male,South,Florida,White,Male,White,White Male,White Male,1
16,Other,Male,South,Louisiana,White,Male,White,White Male,White Male,1
17,White,Male,South,Texas,White,Female,White,White Female,White Female,1
18,White,Male,South,North Carolina,White,Male,White,White Male,White Male,1
19,White,Male,South,North Carolina,White,Male,White,White Male,White Male,1
20,White,Male,South,Texas,White,Male,White,White Male,White Male,1
21,White,Male,South,Louisiana,White,Male,White,White Male,White Male,1
22,White,Male,South,Louisiana,White,Female,White,White Female,White Female,1
23,White,Male,South,Florida,White,Male,White,White Male,White Male,1
24,Other,Male,South,Florida,White,Male,White,White Male,White Male,1
25,White,Male,South,Florida,White,Female,White,White Female,White Female,1
26,Other,Male,South,Georgia,White,Male,White,White Male,White Male,1
27,Other,Male,South,Florida,White,Male,White,White Male,White Male,1
28,Other,Male,South,Florida,White,Male,White,White Male,White Male,1
29,Other,Male,South,Florida,Black,Female,Other,Other Female,Black Female,1
30,White,Male,South,Florida,White,Male,White,White Male,White Male,1
31,White,Male,South,Louisiana,White,Female,White,White Female,White Female,1
32,Other,Male,South,Florida,Black,Male,Other,Other Male,Black Male,1
