,State,Region,Sex,Race,White Convicted,Other Convicted,Executions,State Code,Executions Scaled
0,Alabama,South,Female,White,1,0,1,AL,1.0
1,Alabama,South,Male,Other,0,29,29,AL,4.367295829986475
2,Alabama,South,Male,White,37,0,37,AL,4.610917912644224
3,Arizona,West,Male,Other,0,8,8,AZ,3.0794415416798357
4,Arizona,West,Male,White,29,0,29,AZ,4.367295829986475
5,Arkansas,South,Female,White,1,0,1,AR,1.0
6,Arkansas,South,Male,Other,0,11,11,AR,3.3978952727983707
7,Arkansas,South,Male,White,19,0,19,AR,3.9444389791664403
8,California,West,Male,Other,0,5,5,CA,2.6094379124341005
9,California,West,Male,White,8,0,8,CA,3.0794415416798357
10,Colorado,West,Male,White,1,0,1,CO,1.0
11,Connecticut,Northeast,Male,White,1,0,1,CT,1.0
12,Delaware,South,Male,Other,0,8,8,DE,3.0794415416798357
13,Delaware,South,Male,White,8,0,8,DE,3.0794415416798357
14,Federal,Federal,Male,Other,0,5,5,FE,2.6094379124341005
15,Federal,Federal,Male,White,6,0,6,FE,2.791759469228055
16,Florida,South,Female,White,2,0,2,FL,1.6931471805599454
17,Florida,South,Male,Other,0,37,37,FL,4.610917912644224
18,Florida,South,Male,White,60,0,60,FL,5.0943445622221
19,Georgia,South,Female,White,1,0,1,GA,1.0
20,Georgia,South,Male,Other,0,28,28,GA,4.332204510175204
21,Georgia,South,Male,White,47,0,47,GA,4.850147601710058
22,Idaho,West,Male,White,3,0,3,ID,2.09861228866811
23,Illinois,Midwest,Male,Other,0,5,5,IL,2.6094379124341005
24,Illinois,Midwest,Male,White,7,0,7,IL,2.9459101490553135
25,Indiana,Midwest,Male,Other,0,3,3,IN,2.09861228866811
26,Indiana,Midwest,Male,White,17,0,17,IN,3.833213344056216
27,Kentucky,South,Male,White,3,0,3,KY,2.09861228866811
28,Louisiana,South,Male,Other,0,13,13,LA,3.5649493574615367
29,Louisiana,South,Male,White,15,0,15,LA,3.70805020110221
30,Maryland,South,Male,Other,0,3,3,MD,2.09861228866811
31,Maryland,South,Male,White,2,0,2,MD,1.6931471805599454
32,Mississippi,South,Male,Other,0,6,6,MS,2.791759469228055
33,Mississippi,South,Male,White,15,0,15,MS,3.70805020110221
34,Missouri,Midwest,Male,Other,0,35,35,MO,4.555348061489413
35,Missouri,Midwest,Male,White,55,0,55,MO,5.007333185232471
36,Montana,West,Male,White,3,0,3,MT,2.09861228866811
37,Nebraska,Midwest,Male,Other,0,2,2,NE,1.6931471805599454
38,Nebraska,Midwest,Male,White,2,0,2,NE,1.6931471805599454
39,Nevada,West,Male,Other,0,3,3,NV,2.09861228866811
40,Nevada,West,Male,White,9,0,9,NV,3.1972245773362196
41,New Mexico,West,Male,White,1,0,1,NM,1.0
42,North Carolina,South,Female,White,1,0,1,NC,1.0
43,North Carolina,South,Male,Other,0,15,15,NC,3.70805020110221
44,North Carolina,South,Male,White,27,0,27,NC,4.295836866004329
45,Ohio,Midwest,Male,Other,0,19,19,OH,3.9444389791664403
46,Ohio,Midwest,Male,White,37,0,37,OH,4.610917912644224
47,Oklahoma,South,Female,Other,0,1,1,OK,1.0
48,Oklahoma,South,Female,White,2,0,2,OK,1.6931471805599454
49,Oklahoma,South,Male,Other,0,44,44,OK,4.7841896339182615
50,Oklahoma,South,Male,White,65,0,65,OK,5.174387269895637
51,Oregon,West,Male,White,2,0,2,OR,1.6931471805599454
52,Pennsylvania,Northeast,Male,White,3,0,3,PA,2.09861228866811
53,South Carolina,South,Male,Other,0,16,16,SC,3.772588722239781
54,South Carolina,South,Male,White,27,0,27,SC,4.295836866004329
55,South Dakota,Midwest,Male,White,5,0,5,SD,2.6094379124341005
56,Tennessee,South,Male,Other,0,1,1,TN,1.0
57,Tennessee,South,Male,White,12,0,12,TN,3.4849066497880004
58,Texas,South,Female,Other,0,3,3,TX,2.09861228866811
59,Texas,South,Female,White,3,0,3,TX,2.09861228866811
60,Texas,South,Male,Other,0,316,316,TX,6.755742213586912
61,Texas,South,Male,White,248,0,248,TX,6.5134287461649825
62,Utah,West,Male,Other,0,2,2,UT,1.6931471805599454
63,Utah,West,Male,White,5,0,5,UT,2.6094379124341005
64,Virginia,South,Female,White,1,0,1,VA,1.0
65,Virginia,South,Male,Other,0,56,56,VA,5.02535169073515
66,Virginia,South,Male,White,56,0,56,VA,5.02535169073515
67,Washington,West,Male,White,5,0,5,WA,2.6094379124341005
68,Wyoming,West,Male,White,1,0,1,WY,1.0
