State,Population,White,Black,Latino,Asian,Native American,Region
Alabama,4874747,3191450,1302295,20197,65494,22209,South
Alaska,739795,448081,21192,51712,48569,105146,West
Arizona,7016270,3836639,290379,2202173,22581,274496,West
Arkansas,3004279,2173307,4555,223764,46583,16901,South
California,39536653,14616636,2164239,15477306,5679986,14788,West
Colorado,5607154,3822055,2195,1206724,176176,32102,West
Connecticut,3588184,2393694,35432,578833,162564,7486,Northeast
Delaware,961939,597917,20669,8954,38404,2344,South
Florida,20984400,11288419,3224452,5370860,578136,42654,South
Georgia,10429379,5487048,3245371,1001472,408067,18335,South
Hawaii,1427538,310584,22629,150125,532881,1659,West
Idaho,1716943,1407302,10947,213619,22698,19136,West
Illinois,12802023,7834272,1790512,2206927,689701,12784,Midwest
Indiana,6666818,5278785,61308,461618,146611,9694,Midwest
Iowa,3145711,2701250,103989,185746,80937,7825,Midwest
Kansas,2913123,2210739,161148,34551,85386,17617,Midwest
Kentucky,4454189,3769995,355829,155163,64381,6882,South
Louisiana,4684333,2739086,1505991,24362,83959,21942,South
Maine,1335907,1247090,15761,21899,15141,8225,Northeast
Maryland,6052177,3066146,1776692,612709,389297,11879,South
Massachusetts,6859819,4906564,477846,811292,450311,9439,Northeast
Michigan,9962311,7476534,1359264,504398,306376,45421,Midwest
Minnesota,5576606,4455056,356949,296666,272228,53674,Midwest
Mississippi,2984100,1688447,1130323,86035,27467,1324,South
Missouri,6113532,4854821,69427,255803,123227,21332,Midwest
Montana,1050493,906221,438,38933,7182,62126,West
Nebraska,1920076,1517634,87147,209917,46837,12823,Midwest
Nevada,2998039,1462301,265472,864663,249834,27991,West
New Hampshire,1342795,1212790,18023,50393,35602,15,Northeast
New Jersey,9005644,4939479,1148321,1840433,882064,9074,Northeast
New Mexico,2088070,780688,38022,1018344,27514,182991,West
New York,19849399,10936578,2846481,3811654,1718948,41752,Northeast
North Carolina,10273419,6472902,2175617,962466,29305,111317,South
North Dakota,755393,637291,2283,26479,12699,40745,Midwest
Ohio,11658609,9204374,1421030,436762,256437,17866,Midwest
Oklahoma,3930864,2576937,283068,417708,84404,28858,South
Oregon,4142776,3132752,74345,540924,180042,38855,West
Pennsylvania,12805537,9780941,1367815,938428,442425,14498,Northeast
Rhode Island,1059639,76367,57196,163346,37798,3134,Northeast
South Carolina,5024369,3197812,1344741,28599,74889,1237,South
South Dakota,869666,715927,16345,31278,10612,74563,Midwest
Tennessee,6715984,4962226,1115187,361203,118312,13699,South
Texas,28304596,11855092,3330204,11158751,1344963,71859,South
Utah,3101833,2428495,35689,43429,7453,30073,West
Vermont,623657,578706,7731,11932,11073,1971,Northeast
Virginia,8470020,5226540,1595039,790662,539382,20568,South
Washington,7405743,5077103,262211,940792,625939,75535,West
West Virginia,1815857,1670509,71358,22807,13695,2391,South
Wisconsin,5795483,4706315,362314,397847,158583,44664,Midwest
Wyoming,579315,486586,5154,58122,4586,12341,West
