State,Race,Race Population,Region,Victim
Alabama,White,3191450,South,73.0
Alaska,White,448081,West,0.0
Arizona,White,3836639,West,51.0
Arkansas,White,2173307,South,57.0
California,White,14616636,West,24.0
Colorado,White,3822055,West,1.0
Connecticut,White,2393694,Northeast,4.0
Delaware,White,597917,South,17.0
Florida,White,11288419,South,110.0
Georgia,White,5487048,South,91.0
Hawaii,White,310584,West,0.0
Idaho,White,1407302,West,5.0
Illinois,White,7834272,Midwest,24.0
Indiana,White,5278785,Midwest,34.0
Iowa,White,2701250,Midwest,0.0
Kansas,White,2210739,Midwest,0.0
Kentucky,White,3769995,South,5.0
Louisiana,White,2739086,South,30.0
Maine,White,1247090,Northeast,0.0
Maryland,White,3066146,South,5.0
Massachusetts,White,4906564,Northeast,0.0
Michigan,White,7476534,Midwest,0.0
Minnesota,White,4455056,Midwest,0.0
Mississippi,White,1688447,South,24.0
Missouri,White,4854821,Midwest,96.0
Montana,White,906221,West,6.0
Nebraska,White,1517634,Midwest,6.0
Nevada,White,1462301,West,14.0
New Hampshire,White,1212790,Northeast,0.0
New Jersey,White,4939479,Northeast,0.0
New Mexico,White,780688,West,1.0
New York,White,10936578,Northeast,0.0
North Carolina,White,6472902,South,42.0
North Dakota,White,637291,Midwest,0.0
Ohio,White,9204374,Midwest,64.0
Oklahoma,White,2576937,South,120.0
Oregon,White,3132752,West,5.0
Pennsylvania,White,9780941,Northeast,4.0
Rhode Island,White,76367,Northeast,0.0
South Carolina,White,3197812,South,50.0
South Dakota,White,715927,Midwest,5.0
Tennessee,White,4962226,South,17.0
Texas,White,11855092,South,498.0
Utah,White,2428495,West,15.0
Vermont,White,578706,Northeast,0.0
Virginia,White,5226540,South,121.0
Washington,White,5077103,West,10.0
West Virginia,White,1670509,South,0.0
Wisconsin,White,4706315,Midwest,0.0
Wyoming,White,486586,West,1.0
Alabama,Black,1302295,South,15.0
Alaska,Black,21192,West,0.0
Arizona,Black,290379,West,0.0
Arkansas,Black,4555,South,5.0
California,Black,2164239,West,0.0
Colorado,Black,2195,West,0.0
Connecticut,Black,35432,Northeast,0.0
Delaware,Black,20669,South,8.0
Florida,Black,3224452,South,29.0
Georgia,Black,3245371,South,13.0
Hawaii,Black,22629,West,0.0
Idaho,Black,10947,West,0.0
Illinois,Black,1790512,Midwest,3.0
