,State,Region,Number of Victims,White Male Victims,Other Male Victims,White Female Victims,Other Female Victims,White Convicted,Other Convicted,Male Convicted,Female Convicted,White Victims,Other Victims,Male Victims,Female Victims,Population,State Code,Executions,exe-pop-ratio
0,Alabama,South,88,37,8,36,7,38,29,66,1,73,15,45,43,4874747.0,AL,67,13.744303037675596
1,Arizona,West,57,31,2,20,4,29,8,37,0,51,6,33,24,7016270.0,AZ,37,5.273457264329908
2,Arkansas,South,62,26,5,31,0,20,11,30,1,57,5,31,31,3004279.0,AR,31,10.318615548023336
3,California,West,32,12,4,12,4,8,5,13,0,24,8,16,16,39536653.0,CA,13,0.32880881444365057
4,Colorado,West,1,0,0,1,0,1,0,1,0,1,0,0,1,5607154.0,CO,1,0.17834359462928964
5,Connecticut,Northeast,4,0,0,4,0,1,0,1,0,4,0,0,4,3588184.0,CT,1,0.2786925085224169
6,Delaware,South,25,9,5,8,3,8,8,16,0,17,8,14,11,961939.0,DE,16,16.633071327807688
7,Federal,Federal,25,9,3,10,3,6,5,11,0,19,6,12,13,,FE,11,
8,Florida,South,155,53,34,57,11,62,37,97,2,110,45,87,68,20984400.0,FL,99,4.717790358552067
9,Georgia,South,104,49,4,42,9,48,28,75,1,91,13,53,51,10429379.0,GA,76,7.287106931294758
10,Idaho,West,5,1,0,4,0,3,0,3,0,5,0,1,4,1716943.0,ID,3,1.747291552486017
11,Illinois,Midwest,27,19,3,5,0,7,5,12,0,24,3,22,5,12802023.0,IL,12,0.9373518544686258
12,Indiana,Midwest,36,21,2,13,0,17,3,20,0,34,2,23,13,6666818.0,IN,20,2.999931901545835
13,Kentucky,South,5,2,0,3,0,3,0,3,0,5,0,2,3,4454189.0,KY,3,0.6735232833631442
14,Louisiana,South,38,12,3,18,5,15,13,28,0,30,8,15,23,4684333.0,LA,28,5.9773718051214555
15,Maryland,South,5,2,0,3,0,2,3,5,0,5,0,2,3,6052177.0,MD,5,0.8261490039038845
16,Mississippi,South,32,9,6,15,2,15,6,21,0,24,8,15,17,2984100.0,MS,21,7.0372976776917655
17,Missouri,Midwest,119,48,14,48,9,55,35,90,0,96,23,62,57,6113532.0,MO,90,14.721440895377663
18,Montana,West,6,3,0,3,0,3,0,3,0,6,0,3,3,1050493.0,MT,3,2.8558019901132137
19,Nebraska,Midwest,6,4,0,2,0,2,2,4,0,6,0,4,2,1920076.0,NE,4,2.083250871319677
20,Nevada,West,14,7,0,7,0,9,3,12,0,14,0,7,7,2998039.0,NV,12,4.002616376905037
21,New Mexico,West,1,0,0,1,0,1,0,1,0,1,0,0,1,2088070.0,NM,1,0.478911147614783
22,North Carolina,South,55,21,4,21,9,28,15,42,1,42,13,25,30,10273419.0,NC,43,4.185558867987376
23,Ohio,Midwest,88,27,15,37,9,37,19,56,0,64,24,42,46,11658609.0,OH,56,4.803317445503147
24,Oklahoma,South,158,62,20,58,18,67,45,109,3,120,38,82,76,3930864.0,OK,112,28.492463743339886
25,Oregon,West,5,4,0,1,0,2,0,2,0,5,0,4,1,4142776.0,OR,2,0.4827680762850804
26,Pennsylvania,Northeast,6,1,0,3,2,3,0,3,0,4,2,1,5,12805537.0,PA,3,0.23427365834013836
27,South Carolina,South,65,28,8,22,7,27,16,43,0,50,15,36,29,5024369.0,SC,43,8.558288612958165
28,South Dakota,Midwest,5,4,0,1,0,5,0,5,0,5,0,4,1,869666.0,SD,5,5.749333652229706
29,Tennessee,South,21,8,3,9,1,12,1,13,0,17,4,11,10,6715984.0,TN,13,1.9356806091259302
30,Texas,South,754,242,143,256,113,251,319,564,6,498,256,385,369,28304596.0,TX,570,20.13807227631866
31,Utah,West,15,10,0,5,0,5,2,7,0,15,0,10,5,3101833.0,UT,7,2.2567301334404526
32,Virginia,South,151,57,17,64,13,57,56,112,1,121,30,74,77,8470020.0,VA,113,13.341172748116298
33,Washington,West,11,3,1,7,0,5,0,5,0,10,1,4,7,7405743.0,WA,5,0.6751517032119532
34,Wyoming,West,1,1,0,0,0,1,0,1,0,1,0,1,0,579315.0,WY,1,1.7261766051284706
