,Year,State Code,Region,White Convicted,Other Convicted,Executions,Executions Scaled,State
0,1977,UT,West,1,0,1,1.0,Utah
1,1979,FL,South,1,0,1,1.0,Florida
2,1979,NV,West,1,0,1,1.0,Nevada
3,1981,IN,Midwest,1,0,1,1.0,Indiana
4,1982,TX,South,0,1,1,1.0,Texas
5,1982,VA,South,1,0,1,1.0,Virginia
6,1983,AL,South,1,0,1,1.0,Alabama
7,1983,FL,South,1,0,1,1.0,Florida
8,1983,GA,South,1,0,1,1.0,Georgia
9,1983,LA,South,0,1,1,1.0,Louisiana
10,1983,MS,South,1,0,1,1.0,Mississippi
11,1984,FL,South,5,3,8,3.0794415416798357,Florida
12,1984,GA,South,0,2,2,1.6931471805599454,Georgia
13,1984,LA,South,3,2,5,2.6094379124341005,Louisiana
14,1984,NC,South,2,0,2,1.6931471805599454,North Carolina
15,1984,TX,South,3,0,3,2.09861228866811,Texas
16,1984,VA,South,0,1,1,1.0,Virginia
17,1985,FL,South,2,1,3,2.09861228866811,Florida
18,1985,GA,South,0,3,3,2.09861228866811,Georgia
19,1985,IN,Midwest,1,0,1,1.0,Indiana
20,1985,LA,South,1,0,1,1.0,Louisiana
21,1985,NV,West,1,0,1,1.0,Nevada
22,1985,SC,South,1,0,1,1.0,South Carolina
23,1985,TX,South,3,3,6,2.791759469228055,Texas
24,1985,VA,South,0,2,2,1.6931471805599454,Virginia
25,1986,AL,South,0,1,1,1.0,Alabama
26,1986,FL,South,1,2,3,2.09861228866811,Florida
27,1986,GA,South,0,1,1,1.0,Georgia
28,1986,NC,South,1,0,1,1.0,North Carolina
29,1986,SC,South,1,0,1,1.0,South Carolina
30,1986,TX,South,6,4,10,3.302585092994046,Texas
31,1986,VA,South,0,1,1,1.0,Virginia
32,1987,AL,South,1,0,1,1.0,Alabama
33,1987,FL,South,0,1,1,1.0,Florida
34,1987,GA,South,2,3,5,2.6094379124341005,Georgia
35,1987,LA,South,5,3,8,3.0794415416798357,Louisiana
36,1987,MS,South,0,2,2,1.6931471805599454,Mississippi
37,1987,TX,South,2,4,6,2.791759469228055,Texas
38,1987,UT,West,0,1,1,1.0,Utah
39,1987,VA,South,1,0,1,1.0,Virginia
40,1988,FL,South,1,1,2,1.6931471805599454,Florida
41,1988,GA,South,1,0,1,1.0,Georgia
42,1988,LA,South,2,1,3,2.09861228866811,Louisiana
43,1988,TX,South,1,2,3,2.09861228866811,Texas
44,1988,UT,West,1,0,1,1.0,Utah
45,1988,VA,South,0,1,1,1.0,Virginia
46,1989,AL,South,0,4,4,2.386294361119891,Alabama
47,1989,FL,South,2,0,2,1.6931471805599454,Florida
48,1989,GA,South,0,1,1,1.0,Georgia
49,1989,MO,Midwest,1,0,1,1.0,Missouri
50,1989,MS,South,0,1,1,1.0,Mississippi
51,1989,NV,West,2,0,2,1.6931471805599454,Nevada
52,1989,TX,South,2,2,4,2.386294361119891,Texas
53,1989,VA,South,0,1,1,1.0,Virginia
54,1990,AL,South,0,1,1,1.0,Alabama
55,1990,AR,South,2,0,2,1.6931471805599454,Arkansas
56,1990,FL,South,3,1,4,2.386294361119891,Florida
57,1990,IL,Midwest,1,0,1,1.0,Illinois
58,1990,LA,South,0,1,1,1.0,Louisiana
59,1990,MO,Midwest,3,1,4,2.386294361119891,Missouri
60,1990,NV,West,1,0,1,1.0,Nevada
61,1990,OK,South,1,0,1,1.0,Oklahoma
62,1990,SC,South,1,0,1,1.0,South Carolina
63,1990,TX,South,2,2,4,2.386294361119891,Texas
64,1990,VA,South,2,1,3,2.09861228866811,Virginia
65,1991,FL,South,1,1,2,1.6931471805599454,Florida
66,1991,GA,South,0,1,1,1.0,Georgia
67,1991,LA,South,0,1,1,1.0,Louisiana
68,1991,MO,Midwest,0,1,1,1.0,Missouri
69,1991,NC,South,1,0,1,1.0,North Carolina
70,1991,SC,South,1,0,1,1.0,South Carolina
71,1991,TX,South,2,3,5,2.6094379124341005,Texas
72,1991,VA,South,1,1,2,1.6931471805599454,Virginia
73,1992,AL,South,1,1,2,1.6931471805599454,Alabama
74,1992,AR,South,1,1,2,1.6931471805599454,Arkansas
